Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Thu, Feb 10, 2022",8:00p,Toronto Raptors,,Houston Rockets,,,,,
"Thu, Feb 10, 2022",8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
"Thu, Feb 10, 2022",10:00p,New York Knicks,,Golden State Warriors,,,,,
"Thu, Feb 10, 2022",10:00p,Milwaukee Bucks,,Phoenix Suns,,,,,
"Fri, Feb 11, 2022",7:00p,Charlotte Hornets,,Detroit Pistons,,,,,
"Fri, Feb 11, 2022",7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,
"Fri, Feb 11, 2022",7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,
"Fri, Feb 11, 2022",7:30p,San Antonio Spurs,,Atlanta Hawks,,,,,
"Fri, Feb 11, 2022",7:30p,Denver Nuggets,,Boston Celtics,,,,,
"Fri, Feb 11, 2022",8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,
"Fri, Feb 11, 2022",9:00p,Orlando Magic,,Utah Jazz,,,,,
"Sat, Feb 12, 2022",5:00p,New York Knicks,,Portland Trail Blazers,,,,,
"Sat, Feb 12, 2022",7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,
"Sat, Feb 12, 2022",7:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
"Sat, Feb 12, 2022",7:00p,Sacramento Kings,,Washington Wizards,,,,,
"Sat, Feb 12, 2022",7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
"Sat, Feb 12, 2022",7:30p,Denver Nuggets,,Toronto Raptors,,,,,
"Sat, Feb 12, 2022",8:00p,Oklahoma City Thunder,,Chicago Bulls,,,,,
"Sat, Feb 12, 2022",8:00p,Brooklyn Nets,,Miami Heat,,,,,
"Sat, Feb 12, 2022",8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
"Sat, Feb 12, 2022",8:30p,Los Angeles Lakers,,Golden State Warriors,,,,,
"Sat, Feb 12, 2022",9:00p,Orlando Magic,,Phoenix Suns,,,,,
"Sun, Feb 13, 2022",2:00p,Atlanta Hawks,,Boston Celtics,,,,,
"Sun, Feb 13, 2022",3:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,
"Mon, Feb 14, 2022",7:00p,Detroit Pistons,,Washington Wizards,,,,,
"Mon, Feb 14, 2022",7:30p,Sacramento Kings,,Brooklyn Nets,,,,,
"Mon, Feb 14, 2022",7:30p,Oklahoma City Thunder,,New York Knicks,,,,,
"Mon, Feb 14, 2022",8:00p,San Antonio Spurs,,Chicago Bulls,,,,,
"Mon, Feb 14, 2022",8:00p,Portland Trail Blazers,,Milwaukee Bucks,,,,,
"Mon, Feb 14, 2022",8:00p,Toronto Raptors,,New Orleans Pelicans,,,,,
"Mon, Feb 14, 2022",9:00p,Orlando Magic,,Denver Nuggets,,,,,
"Mon, Feb 14, 2022",9:00p,Houston Rockets,,Utah Jazz,,,,,
"Mon, Feb 14, 2022",10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,
"Tue, Feb 15, 2022",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,
"Tue, Feb 15, 2022",7:30p,Dallas Mavericks,,Miami Heat,,,,,
"Tue, Feb 15, 2022",7:30p,Boston Celtics,,Philadelphia 76ers,,,,,
"Tue, Feb 15, 2022",8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,
"Tue, Feb 15, 2022",8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,
"Tue, Feb 15, 2022",8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,
"Tue, Feb 15, 2022",10:00p,Los Angeles Clippers,,Phoenix Suns,,,,,
"Wed, Feb 16, 2022",7:00p,Atlanta Hawks,,Orlando Magic,,,,,
"Wed, Feb 16, 2022",7:30p,Detroit Pistons,,Boston Celtics,,,,,
"Wed, Feb 16, 2022",7:30p,Washington Wizards,,Indiana Pacers,,,,,
"Wed, Feb 16, 2022",7:30p,Brooklyn Nets,,New York Knicks,,,,,
"Wed, Feb 16, 2022",8:00p,Sacramento Kings,,Chicago Bulls,,,,,
"Wed, Feb 16, 2022",8:00p,Portland Trail Blazers,,Memphis Grizzlies,,,,,
"Wed, Feb 16, 2022",8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
"Wed, Feb 16, 2022",8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
"Wed, Feb 16, 2022",9:00p,Houston Rockets,,Phoenix Suns,,,,,
"Wed, Feb 16, 2022",10:00p,Denver Nuggets,,Golden State Warriors,,,,,
"Wed, Feb 16, 2022",10:00p,Utah Jazz,,Los Angeles Lakers,,,,,
"Thu, Feb 17, 2022",7:00p,Miami Heat,,Charlotte Hornets,,,,,
"Thu, Feb 17, 2022",7:30p,Washington Wizards,,Brooklyn Nets,,,,,
"Thu, Feb 17, 2022",8:00p,Dallas Mavericks,,New Orleans Pelicans,,,,,
"Thu, Feb 17, 2022",8:30p,Philadelphia 76ers,,Milwaukee Bucks,,,,,
"Thu, Feb 17, 2022",10:30p,Houston Rockets,,Los Angeles Clippers,,,,,
"Thu, Feb 24, 2022",7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
"Thu, Feb 24, 2022",7:30p,Boston Celtics,,Brooklyn Nets,,,,,
"Thu, Feb 24, 2022",8:00p,Atlanta Hawks,,Chicago Bulls,,,,,
"Thu, Feb 24, 2022",8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
"Thu, Feb 24, 2022",8:00p,Phoenix Suns,,Oklahoma City Thunder,,,,,
"Thu, Feb 24, 2022",10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
"Thu, Feb 24, 2022",10:00p,Denver Nuggets,,Sacramento Kings,,,,,
"Fri, Feb 25, 2022",7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
"Fri, Feb 25, 2022",7:00p,Oklahoma City Thunder,,Indiana Pacers,,,,,
"Fri, Feb 25, 2022",7:00p,Houston Rockets,,Orlando Magic,,,,,
"Fri, Feb 25, 2022",7:00p,San Antonio Spurs,,Washington Wizards,,,,,
"Fri, Feb 25, 2022",7:30p,Miami Heat,,New York Knicks,,,,,
"Fri, Feb 25, 2022",8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,
"Fri, Feb 25, 2022",9:00p,New Orleans Pelicans,,Phoenix Suns,,,,,
"Fri, Feb 25, 2022",9:00p,Dallas Mavericks,,Utah Jazz,,,,,
"Fri, Feb 25, 2022",10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,
"Sat, Feb 26, 2022",12:00p,Boston Celtics,,Detroit Pistons,,,,,
"Sat, Feb 26, 2022",7:30p,Toronto Raptors,,Atlanta Hawks,,,,,
"Sat, Feb 26, 2022",8:00p,Memphis Grizzlies,,Chicago Bulls,,,,,
"Sat, Feb 26, 2022",8:00p,Washington Wizards,,Cleveland Cavaliers,,,,,
"Sat, Feb 26, 2022",8:00p,San Antonio Spurs,,Miami Heat,,,,,
"Sat, Feb 26, 2022",8:30p,Brooklyn Nets,,Milwaukee Bucks,,,,,
"Sat, Feb 26, 2022",9:00p,Sacramento Kings,,Denver Nuggets,,,,,
"Sun, Feb 27, 2022",1:00p,Philadelphia 76ers,,New York Knicks,,,,,
"Sun, Feb 27, 2022",3:30p,Utah Jazz,,Phoenix Suns,,,,,
"Sun, Feb 27, 2022",5:00p,Boston Celtics,,Indiana Pacers,,,,,
"Sun, Feb 27, 2022",7:00p,Detroit Pistons,,Charlotte Hornets,,,,,
"Sun, Feb 27, 2022",7:00p,Los Angeles Clippers,,Houston Rockets,,,,,
"Sun, Feb 27, 2022",7:30p,Dallas Mavericks,,Golden State Warriors,,,,,
"Sun, Feb 27, 2022",9:00p,Denver Nuggets,,Portland Trail Blazers,,,,,
"Sun, Feb 27, 2022",10:00p,New Orleans Pelicans,,Los Angeles Lakers,,,,,
"Mon, Feb 28, 2022",7:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
"Mon, Feb 28, 2022",7:00p,Indiana Pacers,,Orlando Magic,,,,,
"Mon, Feb 28, 2022",7:30p,Toronto Raptors,,Brooklyn Nets,,,,,
"Mon, Feb 28, 2022",7:30p,Chicago Bulls,,Miami Heat,,,,,
"Mon, Feb 28, 2022",8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
"Mon, Feb 28, 2022",8:00p,Charlotte Hornets,,Milwaukee Bucks,,,,,
"Mon, Feb 28, 2022",8:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,
