full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
P.J. Tucker,Mil,F,36.03,20,19.8,5,0.6,13,0.385,33,0.394,2.6,2.8,0.8,0.5,0.1,0.35,3.6
Rayjon Tucker,Phi,G,23.64,14,4.9,19,0.737,11,0.636,7,0.286,2.4,0.8,0.4,0.14,0,0.29,7.5
Myles Turner,Ind,C-F,25.15,47,31,142,0.782,226,0.606,206,0.335,12.6,6.5,1,0.85,3.38,1.43,5.6
Jonas Valanciunas,Mem,C,29.03,62,28.3,203,0.773,685,0.612,57,0.368,17.1,12.5,1.8,0.56,0.92,1.61,10.3
Denzel Valentine,Chi,G,27.5,62,16.7,17,0.941,174,0.431,242,0.331,6.5,3.2,1.7,0.48,0.11,0.68,7.9
Jarred Vanderbilt,Min,F,22.12,64,17.8,102,0.559,231,0.615,5,0.2,5.4,5.8,1.2,1,0.73,0.83,7.5
Fred VanVleet,Tor,G,27.22,52,36.5,191,0.885,394,0.416,476,0.366,19.6,4.2,6.3,1.67,0.71,1.83,8.8
Anderson Varejao,Cle,F,38.63,5,7.2,9,0.556,15,0.267,1,0,2.6,4,0.6,0,0.4,0.2,10.2
Devin Vassell,San,G-F,20.73,62,17,51,0.843,153,0.464,150,0.347,5.5,2.8,0.9,0.69,0.29,0.35,5.7
Gabe Vincent,Mia,G,24.92,50,13.1,23,0.87,84,0.5,149,0.309,4.8,1.1,1.3,0.42,0.04,0.68,5.8
Noah Vonleh,Bro,F,25.73,4,2.7,0,0,1,0,2,0,0,0.3,0.3,0,0,0.5,0
Nikola Vucevic,Orl,C,30.56,44,34.1,110,0.827,620,0.515,288,0.406,24.5,11.8,3.8,0.95,0.64,1.89,12.1
Nikola Vucevic,Chi,C,30.56,26,32.6,46,0.87,336,0.509,152,0.388,21.5,11.6,3.9,0.88,0.77,1.65,12.2
Dean Wade,Cle,F-C,24.49,63,19.2,39,0.769,98,0.571,213,0.366,6,3.4,1.2,0.54,0.33,0.48,6
Moritz Wagner,Was,F-C,24.06,25,15,52,0.788,80,0.613,42,0.31,7.1,2.9,1.3,0.88,0.32,0.84,8
