NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jaxson Hayes,Nor,C-F,21.64,28,13.5,28.1,18.5,11.1,61,0.787,104,0.577,14,0.286,0.559,0.621,6.4,3.6,14.5,0.4,4.2,0.29,0.64,0.64,6.2,122.1,100.9
,Killian Hayes,Det,G,20.46,29,25.8,53.7,14.3,18.1,29,0.862,108,0.361,83,0.313,0.408,0.444,6.2,3,6.3,3.6,20.8,1.14,0.41,1.55,6.3,92.8,105.4
,Gordon Hayward,Cha,F,31.81,40,33.2,69.2,21,10.5,142,0.859,342,0.506,185,0.378,0.528,0.575,17,4.8,7.7,3.7,15.8,0.88,0.53,1.73,8.1,113.8,113.7
,Aaron Henry,Phi,F,22.37,6,2.8,5.9,18.5,28.6,0,0,4,0.25,1,0,0.2,0.2,0.3,0.2,3.2,0,0,0,0.33,0.33,0,,
,Juancho Hernangomez,Bos,F,26.29,18,5.3,11.1,16.9,16.2,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,14,0.2,4.2,0.22,0.11,0.33,5.1,73.7,102.1
,Willy Hernangomez,Nor,C-F,27.63,22,15.5,32.4,21,11.9,51,0.706,122,0.557,3,0.667,0.568,0.604,8.1,7,24.3,1.3,13.9,0.36,0.23,0.91,10.8,123.8,99.8
,Tyler Herro,Mia,G,21.98,34,32.8,68.4,29.9,13,99,0.869,376,0.452,237,0.388,0.502,0.535,20.6,4.9,8.4,3.9,20.5,0.59,0.15,2.88,8.9,102.6,107.7
,Buddy Hield,Sac,G,29.07,43,29.2,60.8,22.7,10,77,0.87,161,0.416,405,0.38,0.527,0.553,15.4,3.8,7,2,10.7,0.91,0.33,1.56,6.7,106.3,110.5
,Haywood Highsmith,Mia,F,25.09,4,10.4,21.7,8.5,0,0,0,1,0,7,0.571,0.75,0.75,3,1.3,6.7,0,0,0,0.25,0,0,153,107.3
,George Hill,Mil,G,35.69,33,25.6,53.3,12.1,13,38,0.947,100,0.57,91,0.308,0.518,0.563,7.1,3.2,6.5,2.4,12.6,0.79,0.15,0.94,5.9,116.4,107.4
,Malcolm Hill,Atl,F,26.21,3,15.3,31.9,9.3,0,4,1,3,0.667,5,0.6,0.813,0.871,5.7,2,7.1,0.3,2.9,1.33,0.33,0,3.9,183.4,98.1
,Solomon Hill,Atl,F,30.82,13,10.7,22.3,6.6,4.8,0,0,7,0.143,13,0.154,0.2,0.2,0.6,1.8,8.9,0.9,10.4,0.31,0.15,0.08,3.7,86.6,105.2
,Nate Hinton,Ind,G-F,22.6,2,1.2,2.5,36.3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,,
,Jaylen Hoard,Okc,F,22.79,1,1.8,3.8,24,0,0,0,1,0,0,0,0,0,0,2,56.2,0,0,0,0,0,0,,
,Aaron Holiday,Was,G,25.28,33,16.7,34.8,17.7,14.1,24,0.792,126,0.516,52,0.365,0.525,0.546,6.2,1.6,5.1,1.9,16.9,0.58,0.24,0.94,6.4,103.6,106.1
,Jrue Holiday,Mil,G,31.58,33,33.1,69,24.1,14.8,79,0.709,334,0.554,157,0.382,0.56,0.576,18.4,4.6,7.3,6.7,32.7,1.61,0.61,2.76,10,113.7,105.9
,Justin Holiday,Ind,F-G,32.77,35,28.4,59.2,16,9.9,31,0.839,78,0.5,237,0.354,0.524,0.542,10.2,2.9,5.6,1.6,7.8,0.63,0.26,1.03,5.1,104.6,108.3
,Richaun Holmes,Sac,F,28.24,27,26.1,54.5,16.6,14.2,62,0.806,204,0.696,4,0.5,0.697,0.723,12.6,8.7,17.7,1.3,7.9,0.3,1.04,1.44,8,132.7,102.4
,Rodney Hood,Mil,G-F,29.23,32,16.1,33.6,10.6,5.5,14,0.929,42,0.429,73,0.315,0.457,0.487,3.7,1.9,6.3,0.8,6.6,0.34,0.06,0.22,4.4,108.1,108.7
,Scotty Hopson,Okc,G-F,32.43,1,17.7,36.9,14.7,33.3,0,0,3,0.667,1,0,0.5,0.5,4,1,2.9,1,8.7,0,0,2,3.6,69.2,111.5
,Al Horford,Bos,C-F,35.61,32,29.5,61.4,16.8,10.3,64,0.859,158,0.557,137,0.285,0.497,0.538,10.9,7.6,13.9,3.8,19.2,0.72,1.5,1.16,9.2,116.7,102
,Talen Horton-Tucker,Lal,G,21.13,25,28,58.2,19.5,12.2,56,0.821,173,0.486,82,0.244,0.447,0.49,11,4,7.4,2.8,14,1,0.44,1.56,7.1,98.7,103.6
,Danuel House Jr.,Hou,F-G,28.6,16,14.5,30.3,18.3,17.9,19,0.895,40,0.375,34,0.294,0.405,0.467,4.8,2.7,10.1,1.2,11.8,0.31,0.31,1.13,6.9,88.6,111.4
,Danuel House Jr.,Nyk,F-G,28.6,1,3.4,7.1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Danuel House Jr.,Uta,F-G,28.6,3,17.9,37.2,11.2,7.2,2,1,3,0.333,9,0.444,0.583,0.621,5.3,2.3,7.1,1.7,12.1,0.33,0.33,0.33,6.1,137.2,102.2
,Dwight Howard,Lal,C-F,36.09,31,14.7,30.6,13.5,16.6,60,0.617,86,0.593,8,0.75,0.638,0.652,5.1,5.4,19.3,0.6,5.4,0.74,0.61,0.77,6.9,125.7,95.3
,Markus Howard,Den,G,22.86,16,7.2,15.1,27.6,8.4,8,0.875,16,0.25,46,0.391,0.5,0.527,4.3,0.3,2.4,0.3,6.7,0.38,0,0.38,4,96.8,104.2
,Kevin Huerter,Atl,G-F,23.38,32,28.4,59.1,17.4,11.9,23,0.783,155,0.568,154,0.37,0.561,0.572,11.4,3.4,6.6,2.7,13.7,0.47,0.25,1.34,6.6,109.8,111.3
,Jay Huff,Lal,C,24.38,4,5.1,10.6,8.4,25,0,0,1,0,2,0,0,0,0,1,10.3,0.3,5.8,0.25,0.25,0.25,0,33.9,107.3
,Elijah Hughes,Uta,G,23.84,10,6.2,12.8,17,16.4,3,1,5,0.6,14,0.5,0.711,0.738,3,0.9,7.9,0.4,9.3,0.2,0,0.4,6.6,124.4,105
,De'Andre Hunter,Atl,F-G,24.11,11,27.8,58,18.4,10.8,10,0.4,73,0.479,38,0.395,0.518,0.516,10.8,2.7,5.3,0.6,3.3,0.64,0.27,1.27,3.7,94.1,107.7
,Chandler Hutchison,Pho,F-G,25.71,6,3.7,7.8,13.2,58.1,2,1,2,0.5,0,0,0.5,0.694,0.7,0.8,11.7,0.3,10.7,0,0,0.67,6,,
,Bones Hyland,Den,G,21.32,28,16.9,35.2,24.2,10.1,32,0.875,84,0.429,133,0.316,0.456,0.489,8.1,2.1,7,1.6,14,0.54,0.21,0.93,7.1,96.2,101
,Serge Ibaka,Lac,F,32.32,22,15.7,32.7,19,18,21,0.667,75,0.52,39,0.41,0.553,0.568,6.4,3.8,12.7,1.3,12.4,0.18,0.59,1.23,8.1,104.7,98.3
,Andre Iguodala,Gol,G-F,37.95,20,20.8,43.3,11.4,15.6,12,0.75,35,0.686,52,0.231,0.483,0.504,4.7,3.6,9.5,4.3,27.5,0.8,0.65,0.85,8,120.8,102.5
,Joe Ingles,Uta,F-G,34.28,36,25.2,52.6,13.2,15.8,18,0.778,49,0.612,178,0.376,0.575,0.585,7.6,2.9,6.3,3.6,18.8,0.56,0.14,1.22,6.8,118.2,105.8
,Brandon Ingram,Nor,F,24.36,31,34.6,72,29.4,11.6,172,0.82,429,0.483,146,0.329,0.485,0.537,22.5,6.2,9.6,4.9,25.6,0.58,0.32,2.74,10.2,107.1,110.4
,Kyrie Irving,Bro,G,29.8,2,35.9,74.7,27.9,13,5,1,28,0.536,10,0.3,0.513,0.547,22,5.5,8.1,4,18.6,2,1,3,8.7,101.2,103.7
,Wes Iwundu,Atl,F,27.06,3,27.4,57.1,11,4.8,4,0.75,13,0.385,5,0.6,0.528,0.557,7.3,4.3,8.5,0,0,0.33,0,0.33,0,115,108.2
,Jaren Jackson Jr.,Mem,F-C,22.32,41,27.5,57.3,25.8,9.9,173,0.838,316,0.481,236,0.314,0.476,0.534,16.4,5.5,10.6,1.1,6.2,1.02,2,1.68,6.7,106.6,99.2
,Frank Jackson,Det,G,23.69,33,22.7,47.3,20.3,7.6,53,0.83,119,0.513,186,0.333,0.505,0.536,10.7,1.5,3.7,0.9,6.9,0.48,0.24,0.82,4.3,103.9,110.6
,Isaiah Jackson,Ind,F,20,9,5.5,11.4,18.2,4.8,6,0.5,17,0.412,0,0,0.412,0.433,1.9,1.7,16.8,0,0,0.22,0.22,0.11,0,100.4,92.4
,Josh Jackson,Det,G-F,24.92,30,18.4,38.3,19.7,11.8,41,0.683,114,0.526,92,0.283,0.481,0.504,7.5,3.3,9.7,1.5,13.2,0.5,0.37,1,7.3,98.4,105
,Justin Jackson,Bos,F,26.79,1,2,4.2,41.3,0,2,1,1,0,0,0,0,0.532,2,0,0,0,0,0,0,0,0,,
,Justin Jackson,Pho,F,26.79,3,7.8,16.3,14.7,12.5,0,0,2,1,5,0.6,0.929,0.929,4.3,2,13.4,0,0,0,0,0.33,0,144.6,99.7
,Reggie Jackson,Lac,G,31.74,37,31.8,66.2,26.6,11.4,69,0.841,316,0.434,286,0.336,0.467,0.49,16.8,3.4,5.6,3.9,20,0.73,0.14,2.19,7.6,96.6,106.6
,LeBron James,Lal,F,37.03,29,36.8,76.6,30.5,12.6,163,0.785,367,0.624,226,0.372,0.599,0.63,28.9,7.5,10.6,6.6,32.1,1.72,1.14,3.31,12.2,118.8,105.2
,DeJon Jarreau,Ind,G,23.97,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,DaQuan Jeffries,Mem,G-F,24.37,3,2.9,6.1,9.5,0,0,0,1,1,1,0,0.5,0.5,0.7,0.7,12.1,0.3,14.9,0,0,0,7.3,,
,Ty Jerome,Okc,G-F,24.51,30,14.9,30.9,22.3,10,36,0.806,91,0.505,100,0.29,0.469,0.503,6.9,1.6,5.3,1.6,18.5,0.63,0.1,0.77,7,102.6,104.3
,Isaiah Joe,Phi,G,22.53,24,12.3,25.5,16.2,6.6,15,0.933,24,0.375,68,0.338,0.473,0.512,4.2,1.4,6.4,0.8,9.1,0.21,0.08,0.29,5.4,105.3,108.4
,Alize Johnson,Chi,F,25.72,16,7.5,15.7,12.4,23.5,7,0.571,21,0.571,2,0,0.522,0.537,1.8,2.3,16.5,0.5,8.7,0.19,0,0.5,6.8,112.5,99.2
,Alize Johnson,Was,F,25.72,3,6.1,12.6,23,31.8,1,0,4,0.5,2,0,0.333,0.311,1.3,4,35.9,0,0,0,0,1,0,73.2,110
,BJ Johnson,Orl,F,26.06,4,16.2,33.6,16.8,0,0,0,15,0.467,10,0.4,0.52,0.52,6.5,3.8,12.4,0,0,0,0.25,0,0,113.7,111.5
,Cameron Johnson,Pho,F,25.86,39,25.6,53.4,17.2,6.7,57,0.825,123,0.496,226,0.438,0.6,0.623,11.9,4.3,8.7,1.3,6.9,0.85,0.26,0.69,6.3,120.9,102.4
,David Johnson,Tor,G,20.87,2,1,2.1,21.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,James Johnson,Bro,F,34.89,27,18,37.4,12.5,12.1,17,0.353,89,0.551,27,0.259,0.513,0.506,4.6,3.6,10.5,1.7,13.1,0.44,0.41,0.63,6.8,108.5,100.9
,Jalen Johnson,Atl,F,20.07,11,4.7,9.9,18.1,9.2,6,0.667,11,0.545,6,0.333,0.529,0.56,2,1.2,13.5,0.1,2.8,0,0,0.18,5.3,103.6,110
,Joe Johnson,Bos,G-F,40.54,1,2,4.2,22,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
,Keldon Johnson,San,F-G,22.25,36,30.9,64.3,20.5,9.3,105,0.686,315,0.457,127,0.441,0.516,0.541,14.7,6.5,10.9,1.7,7.7,0.83,0.14,1.39,7.1,105.2,107.1
,Keon Johnson,Lac,G,19.84,15,9,18.7,21.9,10.4,21,0.762,40,0.35,11,0.273,0.363,0.44,3.5,1.4,8.2,0.9,14.1,0.47,0.13,0.47,7.3,95,93.7
,Stanley Johnson,Lal,F-G,25.62,7,22.6,47.1,10.1,8,10,0.9,12,0.75,18,0.222,0.5,0.567,5.6,2.7,6.3,1.3,7.4,1.29,0.43,0.43,4.8,118.4,94.5
,Tyler Johnson,Phi,G,29.68,3,12.7,26.5,13,9.1,0,0,3,0.333,7,0.429,0.55,0.55,3.7,2,8.7,0.7,7.4,0.33,0.33,0.33,5.4,108.9,102.4
,Tyler Johnson,San,G,29.68,3,17.7,36.9,8.7,9.1,0,0,4,0,6,0.333,0.3,0.3,2,2,5.8,1.7,11,0.67,0.67,0.33,4.3,87.6,109.9
,Nikola Jokic,Den,C,26.89,33,32.7,68.1,32.6,15,178,0.77,453,0.625,141,0.355,0.603,0.634,25.8,14.2,23.9,7,40.7,1.33,0.82,3.61,16.7,120.6,98.4
,Derrick Jones Jr.,Chi,F,24.9,29,17.9,37.3,13.1,9.7,46,0.848,84,0.667,35,0.371,0.634,0.682,6.6,3.5,10.8,0.6,4.2,0.52,0.79,0.52,5.4,135.8,99.5
,Carlik Jones,Dal,G,24.05,3,6.4,13.3,25.4,27.6,2,1,6,0,1,0,0,0.127,0.7,1,8.5,1.7,32.1,0.33,0,1,6.6,50.9,110.5
,Carlik Jones,Den,G,24.05,2,2,4.2,22.3,0,0,0,2,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
,Damian Jones,Sac,C,26.54,25,14.1,29.5,16.3,19.2,46,0.717,78,0.667,11,0.273,0.635,0.668,5.8,4.2,15.9,0.8,8,0.12,0.44,1.04,7.6,121.1,101.5
,Herbert Jones,Nor,F,23.27,37,28.8,60.1,13.1,12.5,62,0.806,202,0.51,57,0.351,0.514,0.552,8.5,3.8,7.1,1.9,9.5,1.46,1.03,1.11,5.5,111.1,104.7
,Jemerrio Jones,Lal,F,26.76,2,7.4,15.3,8.7,0,0,0,3,0.667,0,0,0.667,0.667,2,1.5,10.7,0,0,0.5,0,0,0,155.6,99.4
,Kai Jones,Cha,C-F,20.98,12,2.8,5.8,16.2,39.2,4,0.25,5,0.8,1,0,0.667,0.58,0.8,0.5,9.5,0.2,7.9,0,0,0.42,6.2,,
,Mason Jones,Lal,G,23.48,2,4.4,9.2,48,10.1,2,0.5,6,0.333,2,0,0.25,0.282,2.5,1,11.9,0,0,0.5,0,0.5,0,59.8,97.8
,Tre Jones,San,G,22.01,35,12.6,26.3,15.2,12.6,21,1,117,0.521,13,0.154,0.492,0.535,4.3,2,8.3,2.3,23.8,0.37,0,0.57,8.6,115.2,106.9
,Tyus Jones,Mem,G,25.67,41,21.4,44.5,15.6,9.7,36,0.917,179,0.525,102,0.373,0.537,0.564,8.2,2.7,6.7,4.1,26.6,0.88,0.05,0.78,8.4,123.7,111.5
,DeAndre Jordan,Lal,C,33.48,28,13,27.1,12.8,17.4,17,0.588,83,0.675,0,0,0.675,0.674,4.4,5.6,22.5,0.4,4.3,0.36,0.86,0.68,6.6,125.9,94.8
,Cory Joseph,Det,G,30.4,29,22.2,46.3,15.1,18.5,52,0.846,102,0.48,60,0.417,0.534,0.587,7.5,2.1,5.1,3.7,25.4,0.79,0.17,1.45,7,112.4,108.3
,Georgios Kalaitzakis,Mil,F,23.03,9,5.3,11.1,17,21.1,9,0.444,7,0.429,4,0.5,0.545,0.535,1.8,0.9,8.8,0,0,0.11,0.11,0.44,0,93,96
,Frank Kaminsky,Pho,F-C,28.77,9,20.1,41.9,19,6.3,20,0.9,51,0.608,15,0.333,0.583,0.635,10.6,4.6,11.8,1.4,10.5,0.89,0.78,0.56,8.1,130.5,99.3
,Luke Kennard,Lac,G,25.55,35,29,60.4,16,7.3,33,0.879,109,0.413,220,0.441,0.579,0.597,11.7,3.4,6.1,2.1,10.6,0.69,0.14,0.77,6,115.7,106.3
,Braxton Key,Phi,F,24.91,2,3.2,6.7,28.1,50,0,0,1,1,1,0,0.5,0.5,1,1,17.2,0.5,23.7,0.5,0,1,9.9,,
,George King,Dal,F-G,27.99,4,4.8,10,16,14.5,2,0.5,1,0,4,0,0,0.085,0.3,1.3,14.2,0,0,0,0,0.25,0,16.5,86.1
,Louis King,Sac,F,22.77,5,11,23,22.5,0,7,0.857,10,0.4,16,0.313,0.442,0.499,5.8,1.6,7.7,0.2,2.7,0.4,0,0,4.5,106.2,101
,Corey Kispert,Was,F,22.86,35,16.9,35.3,14.4,8.3,33,0.848,71,0.577,91,0.286,0.494,0.533,5.4,1.9,6.2,0.8,6.4,0.29,0.26,0.46,4.8,108,112.7
,Maxi Kleber,Dal,F,29.95,25,24.7,51.4,13.2,9.3,26,0.731,39,0.564,115,0.374,0.562,0.58,7.7,6.1,13.5,1.1,6.2,0.44,0.88,0.68,6,116.1,99.8
,Brandon Knight,Dal,G,30.11,3,18.2,37.8,22.6,14.5,8,1,7,0.714,13,0.308,0.55,0.638,10,2.3,7,2.7,22.7,0.33,0,1.33,8.7,119.5,101.7
,Nathan Knight,Min,F-C,24.31,21,8.5,17.8,17.4,16.1,40,0.7,38,0.579,7,0.286,0.556,0.623,3.7,2.5,15.2,0.7,11.2,0.14,0.33,0.57,8.8,122.3,97.1
,Kevin Knox II,Nyk,F,22.42,12,9.1,19,19.6,10.3,10,0.7,12,0.417,27,0.37,0.513,0.541,3.9,1.8,10.3,0.3,4.3,0.17,0.08,0.42,5.6,107.4,109.6
,John Konchar,Mem,G,25.81,34,16.5,34.4,10.1,11,23,0.565,61,0.59,50,0.48,0.649,0.648,4.6,4,12.7,1.3,10.4,0.79,0.21,0.44,7,133.8,103.6
,Furkan Korkmaz,Phi,G-F,24.47,35,23.1,48.1,19.5,8.6,44,0.818,128,0.5,172,0.302,0.473,0.501,9.1,3.2,7.7,2.3,14.5,0.63,0.11,0.86,7,102.7,110.3
,Luke Kornet,Cle,F-C,26.49,2,7.5,15.5,18.6,0,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,10.8,0.5,8.8,0,0.5,0,6.1,96.3,106.1
,Luke Kornet,Mil,F-C,26.49,1,3,6.3,14.3,0,0,0,1,0,0,0,0,0,0,1,17.5,0,0,0,0,0,0,,
,Vit Krejci,Okc,G,21.56,3,3.1,6.4,18.3,25.8,2,1,0,0,2,0,0,0.347,0.7,1,16.5,0,0,0,0,0.33,0,,
,Arnoldas Kulboka,Cha,F,24.02,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Jonathan Kuminga,Gol,F,19.27,28,9.7,20.1,23.6,12.9,45,0.6,74,0.568,34,0.265,0.514,0.54,4.9,1.7,9.7,0.3,4.6,0.36,0.11,0.68,5.6,98.2,92.9
,Kyle Kuzma,Was,F,26.47,38,33.2,69.3,21.7,12.6,106,0.689,273,0.538,219,0.324,0.515,0.538,15.3,8.7,14.3,2.8,12.9,0.66,0.68,2.05,8.7,102.6,106.1
,Anthony Lamb,San,F,23.98,2,3.9,8,11,0,0,0,0,0,2,0,0,0,0,0.5,6.7,1,29,0,0,0,0,,
,Jeremy Lamb,Ind,G-F,29.62,28,14.6,30.5,21.8,7.3,48,0.917,85,0.4,84,0.333,0.45,0.515,7,2.5,9.6,1.3,13.3,0.46,0.36,0.54,7.8,109.6,105.8
,Jock Landale,San,C,26.21,22,9.4,19.6,19.6,13.5,16,0.875,48,0.625,28,0.5,0.671,0.698,5.3,2,10.8,0.9,13.5,0.09,0.36,0.59,9,131.1,106.7
,Romeo Langford,Bos,G-F,22.21,31,18.9,39.4,12.4,7.3,23,0.652,81,0.494,62,0.323,0.49,0.506,5,3.1,8.7,0.5,4.2,0.61,0.39,0.39,4.2,107.4,104.9
,Zach LaVine,Chi,G-F,26.84,35,35,73,30.4,11.9,166,0.867,411,0.545,263,0.411,0.573,0.613,26.2,4.9,7.6,4.1,20.1,0.6,0.34,2.89,9.2,113.5,109.2
,Jake Layman,Min,F,27.85,18,8.6,17.9,15.2,12.4,8,0.75,22,0.591,24,0.167,0.413,0.444,2.4,1.3,7.8,0.3,4.5,0.28,0.17,0.39,4.5,88.3,108.8
,Damion Lee,Gol,G-F,29.22,28,20.7,43.2,16.8,7.1,35,0.857,98,0.531,95,0.347,0.526,0.559,8.3,3.1,8.1,1,7,0.57,0.14,0.57,5.7,110.5,99.7
,Saben Lee,Det,G,22.55,20,15.6,32.4,18.7,13.3,31,0.742,62,0.5,42,0.286,0.471,0.514,6.1,2.5,8.5,2.6,26.3,1.15,0.4,0.9,8.7,106.6,105.9
,Alex Len,Sac,C,28.57,27,17.8,37.1,17.3,16.9,46,0.674,123,0.561,19,0.316,0.549,0.576,6.9,5,14.8,1.1,8.9,0.26,0.81,1.22,7.6,108.9,99
,Caris LeVert,Ind,G,27.38,28,30.4,63.2,27.2,9.2,93,0.796,299,0.488,142,0.31,0.481,0.517,17.8,3.3,6,4,21.8,1.04,0.54,1.75,8.1,105.8,108.2
,Kira Lewis Jr.,Nor,G,20.77,24,14.2,29.6,22.3,14.7,12,0.833,88,0.523,58,0.224,0.449,0.466,5.9,1.6,6.2,2,23,0.46,0.04,1.08,7.5,94.6,112
,Scottie Lewis,Cha,G,21.83,2,3.3,6.9,5.6,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0.5,17.2,0.5,0,0,0,,
,Damian Lillard,Por,G,31.49,29,36.4,75.9,29.5,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,33.5,0.59,0.38,2.86,9.8,112.8,116.7
,Nassir Little,Por,F-G,21.92,35,25.3,52.6,15.6,9.8,75,0.72,130,0.569,123,0.317,0.524,0.558,9.1,5.6,12.2,1.2,6.8,0.66,0.89,0.89,6.2,113.8,108.8
,Isaiah Livers,Det,F,23.46,1,4.7,9.8,27.3,33.3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,84
,Kevon Looney,Gol,F,25.93,39,20,41.6,13.4,12.9,56,0.589,184,0.543,1,0,0.541,0.556,6,6.7,18.2,1.6,11,0.54,0.79,0.79,8,122.4,90.7
,Brook Lopez,Mil,C,33.78,1,28.2,58.8,13.7,0,0,0,5,0.2,4,0.5,0.444,0.444,8,5,9.3,0,0,1,3,0,0,104.2,100.9
,Robin Lopez,Orl,C,33.78,17,17.8,37.2,19.8,16.6,22,0.591,103,0.592,3,0,0.575,0.584,7.9,3.7,11.1,2,19.6,0.06,0.59,1.35,8.7,113.9,108
,Didi Louzada,Nor,G,20,2,3.5,7.2,18.6,0,0,0,0,0,3,0,0,0,0,1,15.6,0.5,18.2,0,0,0,0,,
,Kevin Love,Cle,F-C,33.34,33,21.5,44.9,26,9.5,109,0.881,127,0.465,207,0.411,0.558,0.614,14.2,7.5,18.6,2.1,15.6,0.33,0.24,1.21,11.3,121.2,100.4
,Kyle Lowry,Mia,G,35.8,36,34.3,71.5,19.8,20.6,103,0.845,162,0.562,231,0.325,0.518,0.564,13.7,4.5,7.3,8.4,35.9,0.97,0.36,3.17,9.4,112.8,103.3
,Timothe Luwawu-Cabarrot,Atl,G-F,26.68,26,14.6,30.4,14.2,8.1,18,0.833,33,0.455,73,0.356,0.509,0.54,4.7,1.7,6.1,0.8,7.5,0.38,0.15,0.38,5.1,110.7,107.4
,Trey Lyles,Det,F,26.18,36,18.8,39.1,20.9,10.9,88,0.807,149,0.544,107,0.299,0.504,0.558,9.1,4.7,13.6,1.2,10.4,0.39,0.39,1,7.9,110.8,104.8
,Theo Maledon,Okc,G,20.58,21,13.6,28.3,16.6,16.5,30,0.867,34,0.412,44,0.182,0.333,0.428,3.7,1.8,6.6,1,11.2,0.48,0.1,0.86,5.5,86.7,105.7
,Sandro Mamukelashvili,Mil,F-C,22.64,22,11.9,24.8,14.6,10.1,12,0.75,40,0.475,35,0.371,0.513,0.536,3.9,2.4,10.4,0.5,6.4,0.27,0.27,0.41,5.6,115.9,106.7
,Terance Mann,Lac,G-F,25.23,40,29.6,61.7,15.1,10.8,75,0.747,220,0.541,112,0.375,0.548,0.575,10.5,5.4,9.5,2.4,12,0.55,0.13,1.1,7,116.5,103.6
,Tre Mann,Okc,G,20.94,26,16.8,34.9,20.7,8.6,22,0.636,107,0.421,74,0.365,0.472,0.485,7.1,2.2,6.6,0.7,6.9,0.5,0.23,0.69,5.3,94.3,104.1
,Boban Marjanovic,Dal,C,33.41,16,6,12.4,34.8,14.9,16,0.5,53,0.642,3,0.333,0.634,0.627,4.9,1.9,17.2,0.1,4.7,0,0.13,0.69,6.5,100.4,87.5
,Lauri Markkanen,Cle,F-C,24.64,32,30.4,63.3,19.4,6.3,65,0.862,184,0.522,191,0.309,0.492,0.527,13.3,5.3,9.4,1.7,8.2,0.69,0.53,0.84,6.5,109.2,103.7
,Naji Marshall,Nor,F,23.97,21,10.3,21.4,19.4,20.5,29,0.862,38,0.447,27,0.111,0.331,0.437,3.2,2.6,13.8,1,13.2,0.43,0.14,0.95,7.9,88.8,102.8
,Kenyon Martin Jr.,Hou,F,21.01,39,18.9,39.4,17,8.8,66,0.652,171,0.608,70,0.329,0.575,0.593,8.2,3.7,10.7,1.3,11.3,0.41,0.54,0.67,7.2,119.1,112.5
,Caleb Martin,Mia,F,26.29,30,22.7,47.3,16,9,45,0.667,123,0.593,81,0.37,0.578,0.594,8.9,3.6,8.9,1,6.6,0.93,0.57,0.73,5.6,117.7,103.9
,Cody Martin,Cha,F,26.29,36,26.8,55.8,12.7,10.4,58,0.724,151,0.483,82,0.476,0.564,0.59,8.5,4.1,8.1,2.7,13.3,1.47,0.5,0.83,6.8,123.4,111.1
,Kelan Martin,Ind,F,26.44,27,16.4,34.3,18.4,7.5,13,0.692,94,0.511,74,0.297,0.482,0.492,6.3,2,6.6,0.8,7,0.48,0.33,0.52,5.3,100.8,107.3
,Garrison Mathews,Hou,G,25.21,25,28.5,59.5,15.2,7,69,0.797,35,0.657,173,0.37,0.572,0.615,11.7,3.6,6.9,0.9,4.6,0.68,0.44,0.72,4.7,119.7,108.9
,Dakota Mathias,Mem,G,26.51,4,2,4.1,21.4,0,0,0,0,0,4,0.5,0.75,0.75,1.5,0.5,13.6,0,0,0,0,0,0,,
,Dakota Mathias,Mem,G,26.51,4,2,4.1,21.4,0,0,0,0,0,4,0.5,0.75,0.75,1.5,0.5,13.6,0,0,0,0,0,0,,
,Wesley Matthews,Mil,G,35.25,15,20.3,42.3,12.4,9,6,0.5,22,0.682,56,0.429,0.654,0.651,7,2.1,5.5,0.8,5.5,0.4,0.33,0.53,4.5,123.7,106.5
