Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Mar 9, 2022",10:30p,Washington Wizards,,Los Angeles Clippers,,,,,
"Thu, Mar 10, 2022",7:30p,Brooklyn Nets,,Philadelphia 76ers,,,,,
"Thu, Mar 10, 2022",10:00p,Golden State Warriors,,Denver Nuggets,,,,,
"Fri, Mar 11, 2022",7:00p,Minnesota Timberwolves,,Orlando Magic,,,,,
"Fri, Mar 11, 2022",7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
"Fri, Mar 11, 2022",7:30p,Detroit Pistons,,Boston Celtics,,,,,
"Fri, Mar 11, 2022",8:00p,Dallas Mavericks,,Houston Rockets,,,,,
"Fri, Mar 11, 2022",8:00p,New York Knicks,,Memphis Grizzlies,,,,,
"Fri, Mar 11, 2022",8:00p,Cleveland Cavaliers,,Miami Heat,,,,,
"Fri, Mar 11, 2022",8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,
"Fri, Mar 11, 2022",8:30p,Utah Jazz,,San Antonio Spurs,,,,,
"Fri, Mar 11, 2022",9:00p,Toronto Raptors,,Phoenix Suns,,,,,
"Fri, Mar 11, 2022",10:30p,Washington Wizards,,Los Angeles Lakers,,,,,
"Sat, Mar 12, 2022",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
"Sat, Mar 12, 2022",8:00p,Minnesota Timberwolves,,Miami Heat,,,,,
"Sat, Mar 12, 2022",8:00p,Indiana Pacers,,San Antonio Spurs,,,,,
"Sat, Mar 12, 2022",8:30p,Milwaukee Bucks,,Golden State Warriors,,,,,
"Sat, Mar 12, 2022",10:00p,Toronto Raptors,,Denver Nuggets,,,,,
"Sat, Mar 12, 2022",10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
"Sat, Mar 12, 2022",10:00p,Sacramento Kings,,Utah Jazz,,,,,
"Sun, Mar 13, 2022",1:00p,New York Knicks,,Brooklyn Nets,,,,,
"Sun, Mar 13, 2022",3:00p,Los Angeles Clippers,,Detroit Pistons,,,,,
"Sun, Mar 13, 2022",3:30p,Dallas Mavericks,,Boston Celtics,,,,,
"Sun, Mar 13, 2022",6:00p,Philadelphia 76ers,,Orlando Magic,,,,,
"Sun, Mar 13, 2022",7:00p,Indiana Pacers,,Atlanta Hawks,,,,,
"Sun, Mar 13, 2022",7:00p,Houston Rockets,,New Orleans Pelicans,,,,,
"Sun, Mar 13, 2022",7:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,
"Sun, Mar 13, 2022",9:00p,Los Angeles Lakers,,Phoenix Suns,,,,,
"Mon, Mar 14, 2022",7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,
"Mon, Mar 14, 2022",7:30p,Portland Trail Blazers,,Atlanta Hawks,,,,,
"Mon, Mar 14, 2022",7:30p,Denver Nuggets,,Philadelphia 76ers,,,,,
"Mon, Mar 14, 2022",8:00p,Charlotte Hornets,,Oklahoma City Thunder,,,,,
"Mon, Mar 14, 2022",8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,
"Mon, Mar 14, 2022",10:00p,Washington Wizards,,Golden State Warriors,,,,,
"Mon, Mar 14, 2022",10:00p,Chicago Bulls,,Sacramento Kings,,,,,
"Mon, Mar 14, 2022",10:00p,Milwaukee Bucks,,Utah Jazz,,,,,
"Mon, Mar 14, 2022",10:30p,Toronto Raptors,,Los Angeles Lakers,,,,,
"Tue, Mar 15, 2022",7:00p,Memphis Grizzlies,,Indiana Pacers,,,,,
"Tue, Mar 15, 2022",7:00p,Brooklyn Nets,,Orlando Magic,,,,,
"Tue, Mar 15, 2022",7:30p,Detroit Pistons,,Miami Heat,,,,,
"Tue, Mar 15, 2022",8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,
"Wed, Mar 16, 2022",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
"Wed, Mar 16, 2022",7:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,
"Wed, Mar 16, 2022",7:00p,Denver Nuggets,,Washington Wizards,,,,,
"Wed, Mar 16, 2022",7:30p,Dallas Mavericks,,Brooklyn Nets,,,,,
"Wed, Mar 16, 2022",7:30p,Portland Trail Blazers,,New York Knicks,,,,,
"Wed, Mar 16, 2022",8:00p,Phoenix Suns,,Houston Rockets,,,,,
"Wed, Mar 16, 2022",8:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,
"Wed, Mar 16, 2022",8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
"Wed, Mar 16, 2022",9:00p,Chicago Bulls,,Utah Jazz,,,,,
"Wed, Mar 16, 2022",10:00p,Boston Celtics,,Golden State Warriors,,,,,
"Wed, Mar 16, 2022",10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,
"Wed, Mar 16, 2022",10:30p,Toronto Raptors,,Los Angeles Clippers,,,,,
"Thu, Mar 17, 2022",7:00p,Detroit Pistons,,Orlando Magic,,,,,
"Fri, Mar 18, 2022",7:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,
"Fri, Mar 18, 2022",7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,
"Fri, Mar 18, 2022",7:30p,Portland Trail Blazers,,Brooklyn Nets,,,,,
"Fri, Mar 18, 2022",7:30p,Denver Nuggets,,Cleveland Cavaliers,,,,,
"Fri, Mar 18, 2022",7:30p,Washington Wizards,,New York Knicks,,,,,
"Fri, Mar 18, 2022",7:30p,Los Angeles Lakers,,Toronto Raptors,,,,,
"Fri, Mar 18, 2022",8:00p,Indiana Pacers,,Houston Rockets,,,,,
"Fri, Mar 18, 2022",8:00p,Oklahoma City Thunder,,Miami Heat,,,,,
"Fri, Mar 18, 2022",8:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,
"Fri, Mar 18, 2022",9:00p,Los Angeles Clippers,,Utah Jazz,,,,,
"Fri, Mar 18, 2022",10:00p,Chicago Bulls,,Phoenix Suns,,,,,
"Fri, Mar 18, 2022",10:00p,Boston Celtics,,Sacramento Kings,,,,,
"Sat, Mar 19, 2022",5:00p,Milwaukee Bucks,,Minnesota Timberwolves,,,,,
"Sat, Mar 19, 2022",7:00p,Dallas Mavericks,,Charlotte Hornets,,,,,
"Sat, Mar 19, 2022",8:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
"Sat, Mar 19, 2022",8:00p,Los Angeles Lakers,,Washington Wizards,,,,,
"Sun, Mar 20, 2022",3:30p,Memphis Grizzlies,,Houston Rockets,,,,,
"Sun, Mar 20, 2022",3:30p,Portland Trail Blazers,,Indiana Pacers,,,,,
"Sun, Mar 20, 2022",6:00p,New Orleans Pelicans,,Atlanta Hawks,,,,,
"Sun, Mar 20, 2022",6:00p,Oklahoma City Thunder,,Orlando Magic,,,,,
"Sun, Mar 20, 2022",6:00p,Phoenix Suns,,Sacramento Kings,,,,,
"Sun, Mar 20, 2022",7:30p,Utah Jazz,,New York Knicks,,,,,
"Sun, Mar 20, 2022",8:00p,Boston Celtics,,Denver Nuggets,,,,,
"Sun, Mar 20, 2022",8:30p,San Antonio Spurs,,Golden State Warriors,,,,,
"Sun, Mar 20, 2022",8:30p,Toronto Raptors,,Philadelphia 76ers,,,,,
"Mon, Mar 21, 2022",7:00p,New Orleans Pelicans,,Charlotte Hornets,,,,,
"Mon, Mar 21, 2022",7:00p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,
"Mon, Mar 21, 2022",7:00p,Portland Trail Blazers,,Detroit Pistons,,,,,
"Mon, Mar 21, 2022",7:00p,Miami Heat,,Philadelphia 76ers,,,,,
"Mon, Mar 21, 2022",7:30p,Utah Jazz,,Brooklyn Nets,,,,,
"Mon, Mar 21, 2022",8:00p,Toronto Raptors,,Chicago Bulls,,,,,
"Mon, Mar 21, 2022",8:00p,Washington Wizards,,Houston Rockets,,,,,
"Mon, Mar 21, 2022",8:00p,Boston Celtics,,Oklahoma City Thunder,,,,,
"Mon, Mar 21, 2022",8:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,
"Tue, Mar 22, 2022",7:00p,Golden State Warriors,,Orlando Magic,,,,,
"Tue, Mar 22, 2022",7:30p,Atlanta Hawks,,New York Knicks,,,,,
"Tue, Mar 22, 2022",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
"Tue, Mar 22, 2022",10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
"Wed, Mar 23, 2022",7:00p,New York Knicks,,Charlotte Hornets,,,,,
"Wed, Mar 23, 2022",7:00p,Atlanta Hawks,,Detroit Pistons,,,,,
"Wed, Mar 23, 2022",7:00p,Sacramento Kings,,Indiana Pacers,,,,,
"Wed, Mar 23, 2022",7:30p,Utah Jazz,,Boston Celtics,,,,,
"Wed, Mar 23, 2022",7:30p,Brooklyn Nets,,Memphis Grizzlies,,,,,
"Wed, Mar 23, 2022",7:30p,Golden State Warriors,,Miami Heat,,,,,
"Wed, Mar 23, 2022",8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,
"Wed, Mar 23, 2022",8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,
"Wed, Mar 23, 2022",8:30p,Houston Rockets,,Dallas Mavericks,,,,,
"Wed, Mar 23, 2022",10:00p,Philadelphia 76ers,,Los Angeles Lakers,,,,,
"Wed, Mar 23, 2022",10:00p,San Antonio Spurs,,Portland Trail Blazers,,,,,
"Thu, Mar 24, 2022",7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,
"Thu, Mar 24, 2022",8:00p,Indiana Pacers,,Memphis Grizzlies,,,,,
"Thu, Mar 24, 2022",8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
"Thu, Mar 24, 2022",8:00p,Chicago Bulls,,New Orleans Pelicans,,,,,
"Thu, Mar 24, 2022",9:00p,Phoenix Suns,,Denver Nuggets,,,,,
"Fri, Mar 25, 2022",7:00p,Utah Jazz,,Charlotte Hornets,,,,,
"Fri, Mar 25, 2022",7:00p,Washington Wizards,,Detroit Pistons,,,,,
"Fri, Mar 25, 2022",7:30p,Golden State Warriors,,Atlanta Hawks,,,,,
"Fri, Mar 25, 2022",8:00p,New York Knicks,,Miami Heat,,,,,
"Fri, Mar 25, 2022",8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,
"Fri, Mar 25, 2022",10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
"Fri, Mar 25, 2022",10:30p,Philadelphia 76ers,,Los Angeles Clippers,,,,,
"Sat, Mar 26, 2022",5:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
"Sat, Mar 26, 2022",7:00p,Sacramento Kings,,Orlando Magic,,,,,
"Sat, Mar 26, 2022",7:30p,Indiana Pacers,,Toronto Raptors,,,,,
"Sat, Mar 26, 2022",8:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
"Sat, Mar 26, 2022",8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,,,
"Sat, Mar 26, 2022",8:00p,Brooklyn Nets,,Miami Heat,,,,,
"Sat, Mar 26, 2022",9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,
"Sat, Mar 26, 2022",10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
"Sun, Mar 27, 2022",3:30p,New York Knicks,,Detroit Pistons,,,,,
"Sun, Mar 27, 2022",6:00p,Minnesota Timberwolves,,Boston Celtics,,,,,
"Sun, Mar 27, 2022",6:00p,Philadelphia 76ers,,Phoenix Suns,,,,,
"Sun, Mar 27, 2022",6:00p,Golden State Warriors,,Washington Wizards,,,,,
"Sun, Mar 27, 2022",7:00p,Los Angeles Lakers,,New Orleans Pelicans,,,,,
"Sun, Mar 27, 2022",7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,
"Sun, Mar 27, 2022",7:30p,Utah Jazz,,Dallas Mavericks,,,,,
"Mon, Mar 28, 2022",7:00p,Denver Nuggets,,Charlotte Hornets,,,,,
"Mon, Mar 28, 2022",7:00p,Orlando Magic,,Cleveland Cavaliers,,,,,
"Mon, Mar 28, 2022",7:00p,Atlanta Hawks,,Indiana Pacers,,,,,
