Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sat, Jan 8, 2022",9:00p,Miami Heat,123,Phoenix Suns,100,Box Score,,"17,071",
"Sun, Jan 9, 2022",12:00p,San Antonio Spurs,119,Brooklyn Nets,121,Box Score,OT,"15,606",
"Sun, Jan 9, 2022",3:30p,Atlanta Hawks,93,Los Angeles Clippers,106,Box Score,,"14,836",
"Sun, Jan 9, 2022",6:00p,Washington Wizards,102,Orlando Magic,100,Box Score,,"13,223",
"Sun, Jan 9, 2022",6:00p,New Orleans Pelicans,101,Toronto Raptors,105,Box Score,,,
"Sun, Jan 9, 2022",7:00p,Minnesota Timberwolves,141,Houston Rockets,123,Box Score,,"15,277",
"Sun, Jan 9, 2022",7:00p,Denver Nuggets,99,Oklahoma City Thunder,95,Box Score,,"14,772",
"Sun, Jan 9, 2022",7:30p,Chicago Bulls,99,Dallas Mavericks,113,Box Score,,"20,041",
"Sun, Jan 9, 2022",8:30p,Cleveland Cavaliers,82,Golden State Warriors,96,Box Score,,"18,064",
"Sun, Jan 9, 2022",9:00p,Sacramento Kings,88,Portland Trail Blazers,103,Box Score,,"16,408",
"Sun, Jan 9, 2022",9:30p,Memphis Grizzlies,127,Los Angeles Lakers,119,Box Score,,"18,288",
"Mon, Jan 10, 2022",7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
"Mon, Jan 10, 2022",7:00p,Utah Jazz,,Detroit Pistons,,,,,
"Mon, Jan 10, 2022",7:30p,Indiana Pacers,,Boston Celtics,,,,,
"Mon, Jan 10, 2022",7:30p,San Antonio Spurs,,New York Knicks,,,,,
"Mon, Jan 10, 2022",8:00p,Philadelphia 76ers,,Houston Rockets,,,,,
"Mon, Jan 10, 2022",10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,
"Mon, Jan 10, 2022",10:00p,Cleveland Cavaliers,,Sacramento Kings,,,,,
"Tue, Jan 11, 2022",7:00p,Oklahoma City Thunder,,Washington Wizards,,,,,
"Tue, Jan 11, 2022",7:30p,Phoenix Suns,,Toronto Raptors,,,,,
"Tue, Jan 11, 2022",8:00p,Detroit Pistons,,Chicago Bulls,,,,,
"Tue, Jan 11, 2022",8:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
"Tue, Jan 11, 2022",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,
"Tue, Jan 11, 2022",10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,
"Wed, Jan 12, 2022",7:00p,Boston Celtics,,Indiana Pacers,,,,,
"Wed, Jan 12, 2022",7:00p,Charlotte Hornets,,Philadelphia 76ers,,,,,
"Wed, Jan 12, 2022",7:00p,Orlando Magic,,Washington Wizards,,,,,
"Wed, Jan 12, 2022",7:30p,Miami Heat,,Atlanta Hawks,,,,,
"Wed, Jan 12, 2022",7:30p,Dallas Mavericks,,New York Knicks,,,,,
"Wed, Jan 12, 2022",8:30p,Houston Rockets,,San Antonio Spurs,,,,,
"Wed, Jan 12, 2022",9:00p,Cleveland Cavaliers,,Utah Jazz,,,,,
"Wed, Jan 12, 2022",10:00p,Brooklyn Nets,,Chicago Bulls,,,,,
"Wed, Jan 12, 2022",10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,
"Thu, Jan 13, 2022",7:30p,Golden State Warriors,,Milwaukee Bucks,,,,,
"Thu, Jan 13, 2022",8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,
"Thu, Jan 13, 2022",8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,,,
"Thu, Jan 13, 2022",8:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,
"Thu, Jan 13, 2022",10:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
"Fri, Jan 14, 2022",7:00p,Orlando Magic,,Charlotte Hornets,,,,,
"Fri, Jan 14, 2022",7:00p,Toronto Raptors,,Detroit Pistons,,,,,
"Fri, Jan 14, 2022",7:00p,Phoenix Suns,,Indiana Pacers,,,,,
"Fri, Jan 14, 2022",7:00p,Boston Celtics,,Philadelphia 76ers,,,,,
"Fri, Jan 14, 2022",7:30p,Golden State Warriors,,Chicago Bulls,,,,,
"Fri, Jan 14, 2022",8:00p,Atlanta Hawks,,Miami Heat,,,,,
"Fri, Jan 14, 2022",8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,,,
"Fri, Jan 14, 2022",10:00p,Dallas Mavericks,,Memphis Grizzlies,,,,,
"Fri, Jan 14, 2022",10:00p,Houston Rockets,,Sacramento Kings,,,,,
"Sat, Jan 15, 2022",6:30p,Toronto Raptors,,Milwaukee Bucks,,,,,
"Sat, Jan 15, 2022",7:00p,Portland Trail Blazers,,Washington Wizards,,,,,
"Sat, Jan 15, 2022",7:30p,New York Knicks,,Atlanta Hawks,,,,,
"Sat, Jan 15, 2022",7:30p,New Orleans Pelicans,,Brooklyn Nets,,,,,
"Sat, Jan 15, 2022",8:00p,Philadelphia 76ers,,Miami Heat,,,,,
"Sat, Jan 15, 2022",8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,
"Sat, Jan 15, 2022",8:30p,Chicago Bulls,,Boston Celtics,,,,,
"Sat, Jan 15, 2022",8:30p,Los Angeles Clippers,,San Antonio Spurs,,,,,
"Sat, Jan 15, 2022",9:00p,Los Angeles Lakers,,Denver Nuggets,,,,,
"Sat, Jan 15, 2022",9:30p,Orlando Magic,,Dallas Mavericks,,,,,
"Sun, Jan 16, 2022",1:00p,Phoenix Suns,,Detroit Pistons,,,,,
"Sun, Jan 16, 2022",6:00p,Houston Rockets,,Sacramento Kings,,,,,
"Sun, Jan 16, 2022",8:00p,Utah Jazz,,Denver Nuggets,,,,,
"Sun, Jan 16, 2022",8:00p,Golden State Warriors,,Minnesota Timberwolves,,,,,
"Mon, Jan 17, 2022",12:30p,New Orleans Pelicans,,Boston Celtics,,,,,
"Mon, Jan 17, 2022",1:00p,Charlotte Hornets,,New York Knicks,,,,,
"Mon, Jan 17, 2022",2:00p,Philadelphia 76ers,,Washington Wizards,,,,,
"Mon, Jan 17, 2022",3:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
"Mon, Jan 17, 2022",3:30p,Indiana Pacers,,Los Angeles Clippers,,,,,
"Mon, Jan 17, 2022",3:30p,Chicago Bulls,,Memphis Grizzlies,,,,,
"Mon, Jan 17, 2022",6:00p,Milwaukee Bucks,,Atlanta Hawks,,,,,
"Mon, Jan 17, 2022",7:00p,Portland Trail Blazers,,Orlando Magic,,,,,
"Mon, Jan 17, 2022",7:30p,Toronto Raptors,,Miami Heat,,,,,
"Mon, Jan 17, 2022",8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,
"Mon, Jan 17, 2022",8:30p,Phoenix Suns,,San Antonio Spurs,,,,,
"Mon, Jan 17, 2022",10:30p,Utah Jazz,,Los Angeles Lakers,,,,,
"Tue, Jan 18, 2022",7:30p,Minnesota Timberwolves,,New York Knicks,,,,,
"Tue, Jan 18, 2022",10:00p,Detroit Pistons,,Golden State Warriors,,,,,
"Wed, Jan 19, 2022",7:00p,Orlando Magic,,Philadelphia 76ers,,,,,
"Wed, Jan 19, 2022",7:00p,Brooklyn Nets,,Washington Wizards,,,,,
"Wed, Jan 19, 2022",7:30p,Minnesota Timberwolves,,Atlanta Hawks,,,,,
"Wed, Jan 19, 2022",7:30p,Charlotte Hornets,,Boston Celtics,,,,,
"Wed, Jan 19, 2022",7:30p,Portland Trail Blazers,,Miami Heat,,,,,
"Wed, Jan 19, 2022",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
"Wed, Jan 19, 2022",8:00p,Memphis Grizzlies,,Milwaukee Bucks,,,,,
"Wed, Jan 19, 2022",8:30p,Toronto Raptors,,Dallas Mavericks,,,,,
"Wed, Jan 19, 2022",8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,
"Wed, Jan 19, 2022",9:00p,Houston Rockets,,Utah Jazz,,,,,
"Wed, Jan 19, 2022",10:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
"Wed, Jan 19, 2022",10:00p,Detroit Pistons,,Sacramento Kings,,,,,
"Wed, Jan 19, 2022",10:30p,Indiana Pacers,,Los Angeles Lakers,,,,,
"Thu, Jan 20, 2022",7:30p,Phoenix Suns,,Dallas Mavericks,,,,,
"Thu, Jan 20, 2022",7:30p,New Orleans Pelicans,,New York Knicks,,,,,
"Thu, Jan 20, 2022",10:00p,Indiana Pacers,,Golden State Warriors,,,,,
"Fri, Jan 21, 2022",7:00p,Oklahoma City Thunder,,Charlotte Hornets,,,,,
"Fri, Jan 21, 2022",7:00p,Los Angeles Lakers,,Orlando Magic,,,,,
"Fri, Jan 21, 2022",7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,,,
"Fri, Jan 21, 2022",7:30p,Miami Heat,,Atlanta Hawks,,,,,
"Fri, Jan 21, 2022",7:30p,Portland Trail Blazers,,Boston Celtics,,,,,
"Fri, Jan 21, 2022",8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
"Fri, Jan 21, 2022",8:00p,Toronto Raptors,,Washington Wizards,,,,,
"Fri, Jan 21, 2022",8:30p,Brooklyn Nets,,San Antonio Spurs,,,,,
"Fri, Jan 21, 2022",9:00p,Memphis Grizzlies,,Denver Nuggets,,,,,
"Fri, Jan 21, 2022",9:00p,Detroit Pistons,,Utah Jazz,,,,,
"Fri, Jan 21, 2022",10:00p,Houston Rockets,,Golden State Warriors,,,,,
"Sat, Jan 22, 2022",8:00p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
"Sat, Jan 22, 2022",8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
"Sat, Jan 22, 2022",9:00p,Indiana Pacers,,Phoenix Suns,,,,,
"Sun, Jan 23, 2022",1:00p,Los Angeles Clippers,,New York Knicks,,,,,
"Sun, Jan 23, 2022",3:30p,Boston Celtics,,Washington Wizards,,,,,
"Sun, Jan 23, 2022",6:00p,Los Angeles Lakers,,Miami Heat,,,,,
"Sun, Jan 23, 2022",6:00p,Chicago Bulls,,Orlando Magic,,,,,
"Sun, Jan 23, 2022",6:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
"Sun, Jan 23, 2022",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
"Sun, Jan 23, 2022",7:00p,Philadelphia 76ers,,San Antonio Spurs,,,,,
"Sun, Jan 23, 2022",7:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
"Sun, Jan 23, 2022",8:00p,Detroit Pistons,,Denver Nuggets,,,,,
"Sun, Jan 23, 2022",8:00p,Brooklyn Nets,,Minnesota Timberwolves,,,,,
"Sun, Jan 23, 2022",8:30p,Utah Jazz,,Golden State Warriors,,,,,
"Mon, Jan 24, 2022",7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
"Mon, Jan 24, 2022",8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,
"Mon, Jan 24, 2022",8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,
"Mon, Jan 24, 2022",9:00p,Utah Jazz,,Phoenix Suns,,,,,
"Tue, Jan 25, 2022",7:00p,Denver Nuggets,,Detroit Pistons,,,,,
"Tue, Jan 25, 2022",7:00p,Charlotte Hornets,,Toronto Raptors,,,,,
"Tue, Jan 25, 2022",7:00p,Los Angeles Clippers,,Washington Wizards,,,,,
"Tue, Jan 25, 2022",7:30p,Sacramento Kings,,Boston Celtics,,,,,
"Tue, Jan 25, 2022",7:30p,Los Angeles Lakers,,Brooklyn Nets,,,,,
"Tue, Jan 25, 2022",8:00p,San Antonio Spurs,,Houston Rockets,,,,,
"Tue, Jan 25, 2022",8:00p,New Orleans Pelicans,,Philadelphia 76ers,,,,,
"Tue, Jan 25, 2022",10:00p,Dallas Mavericks,,Golden State Warriors,,,,,
"Tue, Jan 25, 2022",10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,
"Wed, Jan 26, 2022",7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,
